***********************************************
   448 :-84.161606+0.000000i   -19.606508+-0.000000i
   449 :-79.494141+-0.000000i   -32.320980+0.000000i
   450 :-62.847401+-0.000000i   -42.561325+-0.000000i
   451 :-36.393978+0.000000i   -50.011391+0.000000i
   452 :-4.048381+-0.000000i   -54.627121+0.000000i
   453 :29.257751+0.000000i   -56.471516+0.000000i
   454 :58.480312+0.000000i   -55.573284+-0.000000i
   455 :79.378319+-0.000000i   -51.860149+0.000000i
   456 :89.272133+-0.000000i   -45.186779+-0.000000i
   457 :87.483421+0.000000i   -35.451767+-0.000000i
   458 :75.392403+0.000000i   -22.763819+0.000000i
   459 :56.099335+0.000000i   -7.608761+0.000000i
   460 :33.763233+0.000000i   9.049973+-0.000000i
   461 :12.757147+0.000000i   25.775785+-0.000000i
   462 :-3.191446+0.000000i   40.791840+-0.000000i
   463 :-11.713108+0.000000i   52.236111+-0.000000i
   464 :-12.211146+0.000000i   58.482727+-0.000000i
   465 :-5.914279+0.000000i   58.474930+0.000000i
   466 :4.443017+0.000000i   51.984924+-0.000000i
   467 :15.239761+0.000000i   39.741314+-0.000000i
   468 :22.755873+-0.000000i   23.382069+0.000000i
   469 :23.967445+-0.000000i   5.234478+0.000000i
   470 :17.191719+-0.000000i   -12.050908+0.000000i
   471 :2.451489+-0.000000i   -25.931889+0.000000i
   472 :-18.510475+-0.000000i   -34.402481+0.000000i
   473 :-42.558495+0.000000i   -36.318962+-0.000000i
   474 :-65.773781+0.000000i   -31.572039+-0.000000i
   475 :-84.203987+0.000000i   -21.067242+0.000000i
   476 :-94.619186+0.000000i   -6.525143+0.000000i
   477 :-95.107124+0.000000i   9.851840+-0.000000i
   478 :-85.404526+0.000000i   25.772266+0.000000i
   479 :-66.899857+-0.000000i   39.234058+0.000000i
   480 :-42.320976+-0.000000i   48.803974+0.000000i
   481 :-15.171401+-0.000000i   53.764141+-0.000000i
   482 :10.948001+-0.000000i   54.100662+0.000000i
   483 :33.009346+0.000000i   50.365059+0.000000i
   484 :49.065914+0.000000i   43.452457+0.000000i
   485 :58.509571+0.000000i   34.364819+0.000000i
   486 :62.035881+-0.000000i   24.015444+-0.000000i
   487 :61.328369+-0.000000i   13.124423+-0.000000i
   488 :58.549358+0.000000i   2.211985+-0.000000i
   489 :55.752060+0.000000i   -8.316586+0.000000i
   490 :54.348583+0.000000i   -18.045208+0.000000i
   491 :54.754284+0.000000i   -26.426449+0.000000i
   492 :56.286179+0.000000i   -32.721878+0.000000i
   493 :57.338699+-0.000000i   -36.039581+0.000000i
   494 :55.796692+-0.000000i   -35.470516+0.000000i
   495 :49.593609+0.000000i   -30.304264+0.000000i
   496 :37.289650+0.000000i   -20.271326+0.000000i
   497 :18.535648+0.000000i   -5.746897+-0.000000i
   498 :-5.684266+0.000000i   12.144749+0.000000i
